experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
batch,femnist,0.9,"C = 20, tx = 1.0",8888,30,1234.7979936759998,610.882119724,1845.6801134,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.9_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.9,"C = 20, tx = 1.0",9999,30,1234.7979936759998,609.2808631519999,1844.078856828,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.9_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,shakespeare,0.2,"C = 20, tx = 1.0",42,20,467.36235310300003,3.98431424,471.34666734300004,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,shakespeare,0.2,"C = 20, tx = 1.0",1337,20,467.36235310300003,3.2579583110000003,470.620311414,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,shakespeare,0.2,"C = 20, tx = 1.0",2026,20,467.36235310300003,2.571317166,469.93367026899995,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,shakespeare,0.2,"C = 20, tx = 1.0",8888,20,467.36235310300003,2.762335322,470.12468842500004,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,shakespeare,0.2,"C = 20, tx = 1.0",9999,20,467.36235310300003,3.4815715389999995,470.843924642,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,shakespeare,0.4,"C = 20, tx = 1.0",42,20,935.7402732470001,3.4242186200000004,939.1644918669998,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,shakespeare,0.4,"C = 20, tx = 1.0",1337,20,935.7402732470001,3.228594174,938.9688674209999,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,shakespeare,0.4,"C = 20, tx = 1.0",2026,20,935.7402732470001,3.658944685,939.3992179319999,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,shakespeare,0.4,"C = 20, tx = 1.0",8888,20,935.7402732470001,3.8369217210000004,939.5771949680001,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,shakespeare,0.4,"C = 20, tx = 1.0",9999,20,935.7402732470001,3.0250017280000003,938.765274975,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,shakespeare,0.5,"C = 20, tx = 1.0",42,20,1169.388108403,3.191239472,1172.5793478750002,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,shakespeare,0.5,"C = 20, tx = 1.0",1337,20,1169.388108403,3.2809724489999996,1172.6690808520002,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,shakespeare,0.5,"C = 20, tx = 1.0",2026,20,1169.388108403,3.317139759,1172.7052481619999,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,shakespeare,0.5,"C = 20, tx = 1.0",8888,20,1169.388108403,3.105119276,1172.493227679,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,shakespeare,0.5,"C = 20, tx = 1.0",9999,20,1169.388108403,3.339404983,1172.7275133859998,50,60,1.0,50,metrics_network_heterogeneous_shakespeare_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
